0.5142300877,0.6128355545,-0.0000000000
0.5034552277,0.6217176479,-0.0010000000
0.4925269797,0.6304103221,-0.0020000000
0.4814486732,0.6389109289,-0.0030000000
0.4702236834,0.6472168783,-0.0040000000
0.4588554303,0.6553256397,-0.0050000000
0.4473473774,0.6632347427,-0.0060000000
0.4357030309,0.6709417775,-0.0070000000
0.4239259386,0.6784443961,-0.0080000000
0.4120196884,0.6857403126,-0.0090000000
0.3999879079,0.6928273042,-0.0100000000
0.3878342629,0.6997032117,-0.0110000000
0.3755624562,0.7063659402,-0.0120000000
0.3631762267,0.7128134597,-0.0130000000
0.3506793480,0.7190438060,-0.0140000000
0.3380756276,0.7250550807,-0.0150000000
0.3253689055,0.7308454524,-0.0160000000
0.3125630531,0.7364131570,-0.0170000000
0.2996619719,0.7417564982,-0.0180000000
0.2866695925,0.7468738479,-0.0190000000
0.2735898733,0.7517636472,-0.0200000000
0.2604267993,0.7564244061,-0.0210000000
0.2471843810,0.7608547048,-0.0220000000
0.2338666528,0.7650531934,-0.0230000000
0.2204776723,0.7690185928,-0.0240000000
0.2070215187,0.7727496948,-0.0250000000
0.1935022918,0.7762453627,-0.0260000000
0.1799241104,0.7795045314,-0.0270000000
0.1662911114,0.7825262080,-0.0280000000
0.1526074484,0.7853094719,-0.0290000000
0.1388772904,0.7878534751,-0.0300000000
0.1251048206,0.7901574425,-0.0310000000
0.1112942350,0.7922206721,-0.0320000000
0.0974497413,0.7940425353,-0.0330000000
0.0835755576,0.7956224772,-0.0340000000
0.0696759108,0.7969600162,-0.0350000000
0.0557550358,0.7980547450,-0.0360000000
0.0418171740,0.7989063299,-0.0370000000
0.0278665716,0.7995145116,-0.0380000000
0.0139074791,0.7998791046,-0.0390000000
-0.0000558505,0.7999999981,-0.0400000000
-0.0140191632,0.7998771550,-0.0410000000
-0.0279782046,0.7995106129,-0.0420000000
-0.0419287219,0.7989004833,-0.0430000000
-0.0558664648,0.7980469523,-0.0440000000
-0.0697871867,0.7969502799,-0.0450000000
-0.0836866466,0.7956108001,-0.0460000000
-0.0975606096,0.7940289210,-0.0470000000
-0.1114048488,0.7922051247,-0.0480000000
-0.1252151462,0.7901399668,-0.0490000000
-0.1389872942,0.7878340765,-0.0500000000
-0.1527170968,0.7852881562,-0.0510000000
-0.1664003711,0.7825029818,-0.0520000000
-0.1800329480,0.7794794017,-0.0530000000
-0.1936106742,0.7762183371,-0.0540000000
